Category	Genes
ACM	"TOP2A,CENPF,BRIP1,SLBP,ANGPT1,PLCB1,PLCB4,TNNI1,TNNI3,HCN4,SHOX2,TBX18,ROBO1,NKX2-5,RSPO3,MYBPC3,ACTN2,TNNT2,COL2A1,ITGA6,RELN,MYL4,MYL7"
CCS	"TOP2A,CENPF,BRIP1,TNNT2,ACTN2,MYBPC3,RSPO3,NKX2-5,ROBO1,TBX18,SHOX2,HCN4,KCNIP2,TBX3,CPNE5,ISL1,RGS6,SCN5A,GJA1,GJA5,MYH6,NTM,ETV1,SEMA3A,NTNT1,NPPB,BMP10,NPPA,CACNA1G,KCNE1,HCN4,CACNA2D2,IRX3,SCN5A,GJA5,MYH7,MYL2,MYH6,EPHB3,CNCNA1D,CRNDE,CNTN5,MYL4,GJC1"
Endocardial	"TOP2A,CENPF,BRIP1,SLBP,PECAM1,NFATC1,PTHLH,WNT9B,KLF2,TBX20,APLNR,VWF,SEMA3A,HAS2,DACH1,ACTA2,MYH11,SOX9,ADAMTS19,HEY2,JAG1,BMP2,ACKR2,NPR3,POSTN,BMX,NPR3,POSTN,ADM,KCNE3,COL26A1,FOXC1,GATA4,GATA6,MEIS2,NSG1,SHISA3,ACKR1,BMP4i,LEPR"
Endothelial	"TOP2A,CENPF,BRIP1,SLBP,MAML3,CA4,DACH1,LYVE1,PROX1,GJA4,GJA5,HEY1,NR2F2,NRP2,DLL4,JAG2,APLNR,SELE,SELP,POSTN,CDH11,BMP2,ACKR2,MIF,ADM,IGFBP3,KCNE3,APLN,DLL4,PLAUR,LAMB1,KLF2,KLF4,THBD,LIMS,UNC5B,BMP4,NFATC1,WNT9B,SLC6A6,KIT,GABBR2,NR2F2,PLVAP,ELN,FBLN5,FBN1,ADM,CA4,APLNR,KCNE3,KLF4,MECOM,ACKR1,CLDN5,DLL4,FLT4,GRIA2,HEY1,IGFBP3,INMT,JAG1,LAMB1,MAFF,MECOM,MIF,NR2F2,PGF,PLAUR,RGCC,UNC5B"
Endocardial_endothelial	"TOP2A,CENPF,BRIP1,NPR3,POSTN,BMX,SLBP,NFATC1,PTHLH,WNT9B,KLF2,TBX20,APLNR,VWF,SEMA3A,HAS2,DACH1,ACTA2,MYH11,SOX9,ADAMTS19,HEY2,JAG1,MAML3,CA4,DACH1,LYVE1,PROX1,GJA4,GJA5,HEY1,NR2F2,NRP2,DLL4,JAG2,APLNR,SELE,SELP,POSTN,CDH11,BMP2,ACKR2,NPR3,POSTN,BMX"
Epicardial	"TOP2A,CENPF,BRIP1,SLBP,WT1,TCF21,TBX18,MSLN,BNC1,SEMA3D,CDH18,TBX18,TCF21"
FB	"TOP2A,CENPF,BRIP1,SLBP,PI16,TCF21,CXCL12,PRDM6,HOXA3,MYH11,LUM,DCN,PDGFRB,ACTA2,WT1,ABCC9,NOTCH3,ADAMTS19,VIM,POSTN,TBX20"
Lymphocytes	"TOP2A,CENPF,BRIP1,SLBP,LEF1,CDK1,MKI67,KIT,GATA2,CPA3,SELL,TCF7,CD38,NFATC1,NKG7,GNLY,IL7R,CD8A,KLRD1"
Macrophages	"TOP2A,CENPF,BRIP1,SLBP,HIF1A,FCER1A,CST3,FCGR3A,MS4A7,CD14,LYZ,LYVE1,F13A1,C1QC, C1QB,C1QA, PLTP,SPP1,CX3CR1,HLA-DRA,HLA-DQA1, HLA-DPB1"
NeuralCrest_Neuron	"TOP2A,CENPF,BRIP1,SLBP,MLANA,ITGA4,ITGA6,SOX5,SOX6,PLP1,TFAP2A, BCAM, PPP1R15A,NRXN1,SYT1,CEBPB,MYH11,VIM,ETS1,SOX8,TGIF1,TWIST1,SOX9,SOX10,EPHA4,PLXNA2,PHOX2B,SOX10,HAND1,HAND2,PDGFA,PDGFB,HOXA3"
VCM_CM	"TOP2A,CENPF,BRIP1,SLBP,CD36,CKMT2,MYBPC3,SEMA3A,GJA5,CACNA1G,SCN5A,NTN1,BMP10,HAS2,TNNI1,TNNI3,NKX2-5,RSPO3,ROBO1,ACTN2,TNNT2,MYH7, MYL2,ETV1, PCP4, IRX3, HCN4,,NPPA,NPPB,FABP3,ACSL1,CKMT2,COX6A2,DES,HEY2,HIF1A,CCND2,MYCN,TBX20,FZD1,CACNA2D2,HOXA3,PRDM16,SLIT2,CRABP2,ANGPT1,COL2A1,MYH7,MYL2"
